composer
"O'Neill, Norman"
"Obrecht, Jacob"
"Oehmler, Leo"
"Olsen, Ole"
"Oltolina, Carl' Andrea"
"Oma Rønnes, Kristian"
"Ondříček, František"
"Orologio, Alessandro"
"Oswald, Andreas"
"Pabst, Paul"
"Pachulski, Henryk"
"Padovano, Annibale"
"Palme, Rudolf"
"Panchenko, Semën Viktorovich"
"Panofka, Heinrich"
"Pape, Ludwig"
"Paradies, Pietro Domenico"
"Pasquini, Bernardo"
"Pasquini, Ercole"
"Pattison, Thomas Mee"
"Pauer, Ernst"
"Paulsen, Peter"
"Peace, Albert Lister"
"Pegler, Daniel"
"Pejačević, Dora"
"Pellegrini, Vincenzo"
"Penna, Lorenzo"
"Pera, Girolamo"
"Peri, Jacopo"
"Perry, Edward Baxter"
"Pescetti, Giovanni Battista"
"Pestalozzi, Heinrich"
"Pester, Alfred"
"Pezel, Johann Christoph"
"Philbert, Albert"
"Philidor, François Danican"
"Philips, Peter"
"Pick-Mangiagalli, Riccardo"
"Piel, Peter"
"Pierné, Paul"
"Pinilla, José"
"Pintarić, Fortunat"
"Pisendel, Johann Georg"
"Pitoni, Giuseppe Ottavio"
"Pitt, Percy"
"Piutti, Carl"
"Plagge, Wolfgang"
"Plantade, Charles Henri"
"Plante, Cyril"
"Plessen, Friedrich Leopold von"
"Poenitz, Franz"
"Poglietti, Alessandro"
"Poldini, Ede"
"Pollarolo, Carlo Francesco"
"Polleri, Giovanni Battista"
"Poniatowski, Józef"
"Popp, Wilhelm"
"Porta, Costanzo"
"Pressel, Gustav"
"Prestini, Giuseppe"
"Pringle, John"
"Prout, Ebenezer"
"Prover, Filippo"
"Puget, Paul"
"Pugni, Cesare"
"Pujol, Joan Baptista"
"Pujolas, J. H."
"Pössinger, Franz Alexander"
"Quidant, Alfred"
"Ragué, Louis Charles"
"Rasse, François"
"Rathaus, Karol"
"Ravanello, Oreste"
"Ravenscroft, Thomas"
"Rebel, Jean-Féry"
"Rebling, Gustav"
"Reckzeh, Adolf"
"Regondi, Giulio"
"Reichardt, Louise"
"Reichel, C.A."
"Reinhardt, Heinrich"
"Renat, H."
"Renaud, Albert"
"Rendahl, Claes"
"Renié, Henriette"
"René, Charles"
"Resinarius, Balthasar"
"Reubke, Julius"
"Reyes Rodriguez, Bryan"
"Reznicek, Emil von"
"Richter, Ernst Friedrich"
"Riemann, Hugo"
"Ries, Franz"
"Righini, Vincenzo"
"Roberday, François"
"Robert, Pierre"
"Robert-Hansen, Emil"
"Roberts, John Varley"
"Robyn, Alfred George"
"Roger, Victor"
"Rohde, Eduard"
"Romagnesi, Antoine"
"Roman, Johan Helmich"
"Romanini, Antonio"
"Root, George Frederick"
"Ropartz, Guy"
"Rorich, Karl"
"Rosellen, Henri"
"Rosenfeld, Leopold"
"Rosenmüller, Johann"
"Rosetti, Antonio"
"Rosier, Carl"
"Rossi, Francesco"
"Rossi, Luigi"
"Rougnon, Paul"
"Rousseau, Jean-Jacques"
"Rousseau, Samuel Alexandre"
"Rovetta, Giovanni"
"Rowley, Alec"
"Rubini, Giovanni Battista"
"Rueff, Rolf"
"Ruffatti, Antonio"
"Ruffo, Vincenzo"
"Rung, Frederik"
"Rung, Henrik"
"Rządkowski, Jacek"
"Różycki, Ludomir"
"Röntgen, Julius"
"Saboohi, Ehsan"
"Sacchini, Antonio"
"Saint-George, Henry"
"Saint-Georges, Joseph Bologne"
"Salieri, Antonio"
"Sallantin, Antoine"
"Salvayre, Gaston"
"Sammartini, Giovanni Battista"
"Sampietro, Carlo"
"Samson, Ludwig"
"Sances, Giovanni Felice"
"Santos, Giovani dos"
"Sardelli, Federico Maria"
"Sarenko, Vasilii Stepanovich"
"Sartorio, Arnoldo"
"Sauret, Émile"
"Saussine, Henri de"
"Sauvaget, Alfred"
"Sauvrezis, Alice"
"Schaab, Robert"
"Scheidemann, Heinrich"
"Scheidler, Christian Gottlieb"
"Schelle, Johann"
"Schelling, Ernest"
"Scherrer, Heinrich"
"Schiffmacher, Joseph"
"Schlegel, Leander"
"Schlick, Arnolt"
"Schlözer, Paul de"
"Schmelzer, Johann Heinrich"
"Schmid, Anton"
"Schmidt, Ernst von"
"Schmidt, F.W."
"Schmitt, Aloys"
"Schneider, Johann Julius"
"Schoenefeld, Henry"
"Scholl, Karol"
"Schrattenholz, Leo"
"Schröder, Albert"
"Schröter, Johann Samuel"
"Schubert, Franz Anton"
"Schubert, François"
"Schulhoff, Julius"
"Schumann, Camillo"
"Schumann, Clara"
"Schvartz, Émile"
"Schürer, Johann Georg"
"Schütze, Friedrich Wilhelm"
"Seco de Arpe, Manuel"
"Seger, Josef Ferdinand Norbert"
"Seixas, Carlos"
"Sellars, Gatty"
"Sellenick, Adolphe"
"Semet, Théophile"
"Sering, Friedrich Wilhelm"
"Seyffardt, Ernst Hermann"
"Shelley, Harry Rowe"
"Shepherd, Arthur"
"Shepherd, William"
"Sheppard, John"
"Sherwood, William H."
"Shigeta, Takuya"
"Shuebruk, Richard"
"Sigtenhorst Meyer, Berhard van den"
"Siklós, Albert"
"Simonsen, Rudolph"
"Sinigaglia, Leone"
"Sittard, Alfred"
"Skilton, Charles Sanford"
"Smith, Hannah"
"Smith, John Christopher"
"Snoer, Johannes"
Solage
"Solera, Temistocle"
"Sorge, Georg Andreas"
"Sousa, John Philip"
"Spalding, Albert"
"Speaight, Joseph"
"Speil, Rudolph"
"Spiess, Ernst"
"Spindler, Fritz"
"Spourni, Wenceslaus Joseph"
"Staden, Johann"
"Stadlmayr, Johann"
"Stearns, Cassius Clement"
"Stebbins, George Waring"
"Steffani, Agostino"
"Steinbach, Fritz"
"Steinkauler, Walter"
"Stenhammar, Wilhelm"
"Stephens, Charles Edward"
"Stern, Leopold Lawrence"
"Sternberg, Constantin von"
"Stiehl, Heinrich"
"Stoepel, Francesco"
"Stojowski, Sigismond"
"Storace, Stephen"
"Storch, Anton M."
"Stradal, August"
"Stradella, Alessandro"
"Stransky, Josef"
"Strauss, Franz"
"Streben, Ernst"
"Street, Joseph"
"Streicher, Nannette"
"Strelezki, Anton"
"Stölzel, Gottfried Heinrich"
"Succo, Reinhold"
"Sulze, Bernhard"
"Sulzer, Joseph"
"Surzyński, Józef"
"Suter, Hermann"
"Swan, Timothy"
"Sweelinck, Jan Pieterszoon"
"Swinstead, Felix"
"Szuk, Leopold"
"Söderman, August"
"Taffanel, Paul"
"Tagliapietra, Gino"
"Taneyev, Sergei"
"Tariverdiev, Mikaėl"
"Tattersall, William de Chair"
"Taubert, Ernst Eduard"
"Tavarez, Manuel Gregorio"
"Tcherepnin, Nikolay"
"Tedeschi, Luigi Maurizio"
"Terschak, Adolf"
"Tessarini, Carlo"
"Theile, Johann"
"Thomas, Ambroise"
"Thomas, Emile"
"Thomassin, Désiré"
"Thomson, César"
"Thumoth, Burke"
"Thurner, Friedrich Eugen"
"Tillière, Joseph Bonaventure"
"Titelouze, Jean"
"Todt, Johann August Wilhelm"
"Tommasini, Vincenzo"
"Tonoli, Giampietro"
"Torelli, Gasparo"
"Torelli, Giuseppe"
"Tosi, Pier Francesco"
"Toub, David"
"Tournemire, Charles"
"Trabaci, Giovanni Maria"
"Tragó, José"
"Traversa, Gioachino"
"Trneček, Hanuš"
"Trovato, Angelo Maria"
"Troyer, Carlos"
"Tulou, Jean-Louis"
"Turina, Joaquín"
"Turini, Gregorio"
"Türk, Daniel Gottlob"
"Uccellini, Marco"
"Urbach, Otto"
"Urhan, Chrétien"
"Vachon, Pierre"
"Valente, Antonio"
"Valentini, Giuseppe"
"Valverde, Joaquín"
"Van Weerbeke, Gaspar"
"Veichtner, Franz Adam"
"Venturini, Francesco"
"Veracini, Francesco Maria"
"Verdalle, Gabriel"
"Verdelot, Philippe"
"Verhey, Theodor H. H."
"Verley, Albert"
"Vermeire, Oscar"
"Verovio, Simone"
"Vezzoli, Andrea"
"Vicentino, Nicola"
"Vidal, Paul"
"Vierdanck, Johann"
"Vierne, Louis"
"Villoldo, Ángel Gregorio"
"Vitali, Giovanni Battista"
"Vogt, Gustave"
"Voigt, Friedrich Wilhelm"
"Volckmar, Wilhelm Valentin"
"Wacher, Pierre Jean"
"Wachs, Paul"
"Wachtmeister, Axel Raoul"
"Wade, John Francis"
"Wagner, Oscar"
"Walker, Ernest"
"Wallace, William Vincent"
"Walsh, John"
"Wanczura, Josef"
"Warlock, Peter"
"Warner, Harry Waldo"
"Wassenaer, Unico Wilhelm"
"Webbe, Samuel"
"Weber, F."
"Weber, Gottfried"
"Weber, Gustav"
"Weber, Otto"
"Weelkes, Thomas"
"Weide, W."
"Weigl, Karl"
"Weil, Oscar"
"Weiske, Carlos"
"Weissenborn, Julius"
"Welb, Heinrich"
"Wels, Charles"
"Wendling, Johann Baptist"
"Wennerberg, Gunnar"
"Werner, Ad."
"Werner, Johann Gottlob"
"Wert, Giaches de"
"Wesley, Samuel Sebastian"
"White, John"
"Wickenhausser, Richard"
"Wiedeburg, Michael Johann Friedrich"
"Williams, Gerrard"
"Willner, Arthur"
"Wiske, Charles Mortimer"
"Witkowski, Georges Martin"
"Witt, Christian Friedrich"
"Wolf-Ferrari, Ermanno"
"Wolfrum, Philipp"
"Wolkenstein, Oswald von"
"Wood, Charles"
"Woodforde-Finden, Amy"
"Wormser, André"
"Woyrsch, Felix"
"Yafil, Edmond-Nathan"
"Yost, Michel"
"Yradier, Sebastián"
"Yvon, Carlo"
"Zabalza, Dámaso"
"Zabel, Albert"
"Zagny, Sergei"
"Zajc, Ivan"
"Zanoni, Michele"
"Zappa, Francesco"
"Zeckwer, Richard"
"Zelter, Carl Friedrich"
"Zhelobinsky, Valery Viktorovich"
"Ziegler, Ignaz"
"Ziehrer, Karl Michael"
"Zilcher, Hermann"
"Zintl, Frank"
"Zipoli, Domenico"
"Zsasskovszky, Endre"
"Zumpe, Hermann"
"Zurfluh, Auguste"
"Überlée, Adalbert"
"Šafranek-Kavić, Lujo"
"Agnesi, Maria Teresa"
"Allegri, Gregorio"
"Bach, Johann Bernhard"
"Bach, Johann Michael"
"Beech, Shane"
"Berger, Rodolphe"
"Bernn, Alexandre"
"Biehl, Albert"
"Biene, Auguste van"
"Bihari, János"
"Biordi, Giovanni"
"Bishop, John"
"Blondel, Louis-Nicolas"
"Bodro, Carlo"
"Bomtempo, João Domingos"
"Bristow, George Frederick"
"Brockway, Howard"
"Brogi, Renato"
"Brumel, Antoine"
"Buttykay, Ákos"
"Calkin, John Baptiste"
"Canale, Floriano"
"Candi, Cándido"
"Carosio, Ermenegildo"
"Casini, Giovanni Maria"
"Chesneau, Carl"
"Corder, Frederick"
"Cramer, N."
"Croisez, Alexandre"
"Curschmann, Friedrich"
"Daelli, Giovanni"
"Decaux, Abel"
"Decourcelle, Maurice"
"Dessau, Bernhard"
"Dessoff, Felix Otto"
"Dienel, Otto"
"Dietrich, Sixtus"
"Dinelli, Giuseppe"
"Dohnányi, Ernő"
"Eulenburg, Philipp zu"
"Faisst, Clara"
"Farkas, Ödön"
"Farrenc, Louise"
"Fauconier, Benoit Constant"
"Ferroud, Pierre-Octave"
"Finck, Heinrich"
"Fogg, Eric"
"Frysinger, Frank"
"Ganthony, Joseph"
"Gerhardt (d.1946), Paul"
"Gobbaerts, Louis"
"Golinelli, Stefano"
"Graziani, Bonifazio"
"Gregh, Louis"
"Grobe, Charles"
"Grobet, Louis"
"Gussago, Cesario"
"Gédalge, André"
"Götze, Heinrich"
"Hamerik, Asger"
"Hannikainen, Ilmari"
"Harmston, John William"
"Harwood, Basil"
"Henze, Bruno Karl Ludwig"
"Hofhaimer, Paul"
"Hofmeister, Friedrich"
"Hume, Tobias"
"Ingenhoven, Jan"
"Jungmann, Albert"
"Kafka, Johann Nepomuk"
"Karagichev, Boris"
"Ketten, Henry"
"Kleffel, Arno"
"Klitzsch, Karl Emanuel"
"Krause, Johann Georg"
"Krell, William"
"Kákonyi, Árpád"
"Köhler, Moritz"
"Kőszegi, Alexander"
"Laskovsky, Ivan Fyodorovich"
"Leslie, Ernest"
"Lidarti, Christian Joseph"
"Lopes, Antonio"
"Lorenz, Karl Adolf"
"Lorenziti, Antonio"
"López Almagro, Antonio"
"Macfarlane, Will C."
"Maillart, Aimé"
"Marchal, Carlos"
"Marx-Markus, Charles"
"Marzials, Theophilus"
"Maury, Sabas"
"Mendizábal, Manuel"
"Merulo, Claudio"
"Michaelis, Theodor"
"Minyar-Beloruchev, Konstantin"
"Mugellini, Bruno"
"Murray, James Ramsey"
"Mussi, Antonio"
"Méhul, Etienne Nicolas"
"Mühlauer, Michael"
"Navone, Giovanni Di Domenico"
"Nägeli, Hans Georg"
"Osborne, George Alexander"
"Oudrid, Cristóbal"
"Pecci, Tommaso"
"Perlado, Pablo de Miguel"
"Pieroni, Leopoldo"
"Pignocchi, Emanuele"
"Pilati, Mario"
"Pogojeff, Wladimir"
Poldowski
"Popy, Francis"
"Pratt, Silas Gamaliel"
"Quagliati, Paolo"
"Randegger, Alberto"
"Raupach, Hermann Friedrich"
"Redhead, Edward"
"Renier, Nicolas"
"Riera, Rafel Riera"
"Rodríguez de Alcántara, Melchor"
"Rousseau, Jean"
"Rupés, George"
"Römer, Mathäus"
"Saenger, Gustav"
"Seeling, Hans"
"Simonsen, Niels Juel"
"Simpson, Christopher"
"Sirmen, Maddalena Laura"
"Smetana, Bedřich"
"Soderini, Agostino"
"Soldan, Otto"
"Solié, Jean-Pierre"
"Solomon, Edward"
"Stebbins, Charles Albert"
"Stephany, Jean-Baptiste"
"Straeten, Edmund S J van der"
"Strauss Sr., Johann"
"Szántó, Tivadar"
"Théron, J."
"Valen, Fartein"
"Vehils, Joaquín María"
"Veldhuizen, Rick van"
"Vincent, Charles"
"Von Tilzer, Harry"
"Voss, Charles"
"Wagner, J.H."
"Weber, Carl Maria von"
"Wiedemann, Ludwig"
"Winterberger, Alexander"
"Worsley, Clifton"
"Zamecnik, John Stepan"
"Zerlett, Johann Baptist"
"Zimmermann, F."
"Zinck, Ludvig"
"Zoeller, Ernest"
"Adson, John"
"Aguilar, Emanuel"
"Allende, Pedro Humberto"
"Anglia, Robertus de"
"Arrieta, Emilio"
"Audain, Irene"
"Ayres, Frederick"
"Bajamonti, Julije"
"Balmer, Charles"
"Bazzoni, Giovanni Luigi"
"Becker, Jean"
"Berhandizki, Rochus"
"Besozzi, Carlo"
"Biechteler, Matthias Sigmund"
"Boije af Gennäs, Carl Oscar"
"Bonamici, Ferdinando"
"Bruck, Arnold von"
"Buchheit, Joseph Chen"
"Böddecker, Philipp Friedrich"
"Calkin, George"
"Ceresini, Giovanni"
"Certon, Pierre"
"Chanaud, Jacques"
"Clari, Giovanni Carlo Maria"
"Comi, Gaudenzio"
"Costa Nogueras, Vicente"
"Crane, Adam"
"Crotti, Arcangelo"
"Daube, Johann Friedrich"
"Davies, Walford"
"Demetrio, Antonio"
"Desormes, Louis César"
"Donostia, José Antonio de"
"Dupont, Auguste"
"Désargus, Xavier"
"Döhler, Theodor"
"Eichberg, Julius"
"Eitle, Otto"
"Elliott, James William"
"English Folk Music, 17th Century"
"Eschmann, Johann Carl"
"Esposito, Michele"
"Farnaby, Giles"
"Fasch, Karl Friedrich Christian"
"Fioroni, Giovanni Andrea"
"Foden, William"
"Fontana, B.C."
"Foroni, Jacopo"
"Fragoso, António"
"Gariboldi, Giuseppe"
"Gervasio, Giovanni Battista"
"Gibbs, Cecil Armstrong"
"Giovannelli, Ruggiero"
"Giribaldi, Tomás"
"Giuliano, Giuseppe"
"Glareanus, Henricus"
"Goberna, Roberto"
"Grandauer, Karl"
"Grant-Schaefer, George Alfred"
"Grove, George"
"Grädener, Carl Georg Peter"
"Haas, Joseph"
"Hamer, George F."
"Hasse, Karl"
"Hawley, Charles Beach"
"Henrion, Paul"
"Hierro, José del"
"Hine, William"
"Hughes, Herbert"
"Jadin, Louis-Emmanuel"
"Jarman, Thomas"
"Jubitz, Friedrich Wilhelm"
"Karpoff, Michel"
"Keyper, Franz Joseph"
"Knecht, Justin Heinrich"
"Knuth, Jürgen"
"Kontski, Anton de"
"Koschat, Thomas"
"Koss, Henning von"
"Kühner, Wilhelm"
"Lacorcia, Scipione"
"Lindpaintner, Peter Joseph von"
"Lippacher, Clément"
"Lloyd, Charles Harford"
"Loder, Edward James"
"Lucas, Clarence"
"Maasmann, Alexander"
"Mahler, Max"
"Maier, Amanda"
"Marchant, Arthur William"
"Martin, Easthope"
"Mayeur, Louis Adolphe"
"Meyer, Adolph"
"Michael, Samuel"
"Miskow, Sextus"
"Mohr, Thomas"
"Morsolino, Antonio"
"Métra, Olivier"
"Müller, Friedrich"
"Müller, Selmar"
"Nevin, Ethelbert"
"Nicolau i Parera, Antoni"
"Nielsen, Ludolf"
"Noskowski, Zygmunt"
"Nussen, Frederick"
"Othmayr, Caspar"
"Padovec, Ivan"
"Papperitz, Benjamin Robert"
"Petzet, Walter"
"Piazza, Gaetano Felice"
"Poise, Ferdinand"
"Pracht, Andrey"
"Richter, Franz Xaver"
"Rosa, Salvator"
"Rudorff, Ernst"
"Sarrablo y Clavero, Manuel"
"Schuberth, Louis"
"Schunk, Florian"
"Seitz, Friedrich"
"Sellner, Joseph"
"Shen, Yichuan"
"Silcher, Friedrich"
"Smith, David Stanley"
"Stojanović, Petar"
"Strozzi, Barbara"
"Stubbe, Arthur"
"Sánchez Gabagnach, Francisco de Paula"
"Talexy, Adrien"
"Tibaldi, Giovanni Battista"
"Tovey, Donald Francis"
"Tutton, James Rufus"
"Vaet, Jacobus"
"Verhulst, Johannes"
"Versluis, Tyler"
"Vianna da Motta, José"
"Viereck, J. C."
"Vollstedt, Robert"
"Waller, Henry"
"Walter, August"
"Weckmann, Matthias"
"Wehe, Hermann Ferdinand Albert Wilhelm"
"Weldon, John"
"Woltz, Johann"
"Zarlino, Gioseffo"
"Zirler, Stephan"
"Zocarini, Matteo"
"Zopff, Hermann"
"Abesser, Edmund"
"Adiego Navarro, Tomás"
"Alberdi, Juan Bautista"
"Albrecht, Ludwig"
"Alcock Sr., John"
"Arena Rodríguez, Miguel Ramón"
"Attrup, Karl"
"Aulen, Johannes"
"Bach, Christoph"
"Banck, Carl"
"Banister, John"
"Bao, Yuankai"
"Barnby, Joseph"
"Bazelaire, Paul"
"Behrens, Albert"
"Berg, Alban"
"Berthold, Karl Friedrich Theodor"
"Best, William Thomas"
"Blech, Leo"
"Bonawitz, Johann Heinrich"
"Bononcini, Giovanni Maria"
"Botsford, George"
"Bravenz, Rose"
"Bruguière, Édouard"
"Brull, Melecio"
"Brzeziński, Franciszek"
"Bödecker, Louis"
"Cadman, Charles Wakefield"
"Calderan, Elia Alessandro"
"Callcott, John Wall"
"Calvisius, Seth"
"Cambefort, Jean de"
"Campioni, Carlo Antonio"
"Cappa, Antonio José"
"Catherine, Alphonse"
"Charpentier, Marc-Antoine"
Chauvigny
"Chevaillier, Lucien"
"Choron, Alexandre-Étienne"
"Claußnitzer, Hermann Paul"
"Combelle, François"
"Coronaro, Gaetano"
"Couture, Guillaume"
"Csáth, Géza"
"Cuccoli, Arturo"
"Dalla Gostena, Giovanni Battista"
"Damaré, Eugène"
"Danek, Laudislaus Max"
"Davydov, Stepan Ivanovich"
"Deigendesch, Karl"
"Del Valle de Paz, Edgardo"
"Desmet, Aloys"
"Döring, Wilhelm"
"Egghard, Jules"
"Eichenberg, Dietrich"
"Elsner, Józef"
"Farrant, Richard"
"Finzenhagen, Ludwig Hermann Otto"
"Fischer, Adolphe"
"Fischer, Carl August"
"Forkel, Johann Nikolaus"
"Franco-Mendès, Jacques"
"Furchheim, Johann Wilhelm"
"Gabler, Egon"
"Galilei, Vincenzo"
"Gamble, John"
"Gaubert, Philippe"
"Ghys, Henri"
"Gleason, Frederic Grant"
"Greaves, Thomas"
"Guami, Gioseffo"
"Guiteras, Eusebi"
"Hall, Henry"
"Hall, Robert Browne"
"Hallström, Ivar"
"Hamlin, David"
"Have, William ten"
"Helfer, Friedrich August"
"Henriques, Fini"
"Hepworth, William"
"Herdlizka, Henric"
"Hinton, Arthur"
"Howe, Elias"
"Hurlebusch, Conrad Friedrich"
"Hänlein, Albrecht"
"Jacob, Georges"
"Jacobi, Viktor"
"Jeanjean, Paul"
"Keller, Otto"
"Ketèlbey, Albert William"
"Kienzl, Wilhelm"
"Kinder, Ralph"
"King, Robert"
"Kiossev, Martin"
"Klein, Franz Aloÿs"
"Koechlin, Charles"
"Krogmann, Carrie Williams"
"Kárpáti, Ernö"
"Küchler, Johann"
"La Villa, Paolo"
"Lacheurié, Eugène"
"Landré, Willem"
"Lawlor, Charles B."
"Leavitt, W.J.D."
"Lincke, Paul"
"Lindner, Paul"
"Loeillet, Jean Baptiste"
"Lopez, Joel Edgardo"
"Lorenzi, Giorgio"
"Loreti, Alfred Heinrich"
"Lubrich Sr., Fritz"
"Luzzaschi, Luzzasco"
"Luzzatto, Fortunato"
"MacCunn, Hamish"
"MacFadyen, Alexander"
"Mandyczewski, Eusebius"
"Martinez, Marianne"
"Maurice, Alphonse"
"Mestres, Apeles"
"Mietzke, Carl"
"Mills, Kerry"
"Mohr, Désiré"
"Oakeley, Herbert Stanley"
"Pallavicino, Benedetto"
"Parker, Henry"
"Paull, Edward Taylor"
"Pauta, Ascencio"
"Pedrell, Felipe"
"Perucchini, Giovanni Battista"
"Peterka, Rudolf"
"Petrovski, Soni"
"Petrucci, Ottaviano"
"Pilkington, Francis"
"Playford, John"
"Puchat, Max"
"Reger, C."
"Robaudi, Vincenzo"
"Rossi, Lauro"
"Rust, Wilhelm"
"Rünger, Julius"
"Saracini, Claudio"
"Satie, Erik"
"Schaper, Gustav Adolf"
"Schmid, Josef"
"Serpette, Gaston"
"Seymour, Montague"
"Smart, Henry Thomas"
"Somervell, Arthur"
"Somis, Giovanni Battista"
"Stark, Robert"
"Statkowski, Roman"
"Steinwender, Otto"
"Strauss, Josef"
"Sánchez, José Luis"
"Séverac, Déodat de"
"Tadolini, Giovanni"
"Thern, Károly"
"Tinazzoli, Andrea"
"Toledo, Nicolás"
"Tours, Berthold"
"Trinkaus, George John"
"Urban, Heinrich"
"Valle Chinestra, Bernardino"
"Vanderhoeven, Wannes"
"Vento, Ivo de"
"Vogel, Moritz"
"Wagner, A."
"Waller, Frank"
"Ward, Frank Edwin"
"Wesley, Samuel"
"Weyrauch, August Heinrich von"
"Wisotzky, M."
"Zapff, Oskar"
"Aubert, Jacques"
"Bacheler, Daniel"
"Barri, Odoardo"
"Beauchamp, Pierre"
"Bertezen, Salvatore"
"Bettinozzi, Giovanni"
"Blair, Hugh"
"Bosmans, Henriëtte"
"Bozzotti, Giuseppe"
"Bubeck, Theodor"
"Bunsen (née Waddington), Frances"
"Béesau, Joseph"
"Cannabich, Christian"
"Coninx, L"
"Danilevsky, V."
"Eckert, Karl Anton Florian"
"Edmund, William"
"Engel, Joel"
"Erlanger, Frédéric d'"
"Essex, E. C."
"Europe, James Reese"
"Ewald, Victor"
"Felix, Hugo"
"Fink, Christian"
"Flament, Édouard"
"Franklin, Bernard"
"Frey, Johann"
"Gallay, Jacques François"
"Galliculus, Johannes"
"Geisler, Paul Thomas"
"Grey, Charles John"
"Hemmerley, Georg"
"Ingerman, Mark"
"Kaski, Heino"
"Krebs, Johann Tobias"
"Lambert, Michel"
"Laurent, Mademoiselle"
"Laurischkus, Max"
"Martínez García, Salvador"
"Moulinié, Étienne"
"Möbius, Paul Julius"
Plutarch
"Rabl, Walter"
"Reissiger, Friedrich August"
"Samuel-Rousseau, Marcel"
"Schlemüller, Hugo"
"Schmidt, Oscar"
"Seibt, Heinrich"
"Staub, Victor"
"Strauss, Eduard"
"Tritonius, Petrus"
"Vogrich, Max"
"Weinhöppel, Hans Richard"
"West, John Ebenezer"
"Zwart, Jan"
"Aletter, Wilhelm"
"Arbeau, Thoinot"
"Attwood, Thomas"
"Barratt, Edgar"
"Barth, Rudolph"
"Benedetti, Piero"
"Beschnitt, Johannes"
"Bissantz, G."
"Brückner, Oscar"
"Bungert, August"
"Chevignard, Georges"
"Colburn, Grant"
"Cornell, John Henry"
"Disclez, Joseph"
"Erdmannsdörfer, Max"
"Frenzel, Hermann Robert"
"Gersbach, Joseph"
"Glück, Friedrich"
"Hey, Julius"
"Horváth, Géza"
"Mann, Joseph Arthur"
"Maréchal, Henri"
"Morin, Jean-Baptiste"
"Nacci, Andrea Antonello"
"Nietzsche, Friedrich"
"Pesenti, Martino"
"Roessel, Louis"
"Runcie, Constance Owen Faunt Le Roy"
"Rygaard, Georg"
"Sabadini, Bernardo"
"Schmid, Heinrich Kaspar"
"Schoonenbeek, Kees"
"Schreck, Gustav"
"Tailour, Robert"
"Valli, Pietro"
"Wang, Shubo"
"Wilhelm, Karl"
"Campion, Thomas"
"Cereceda, Guillermo"
"Förster, Kaspar"
"Hartog, Henri"
"Heredia, Pedro de"
"Kelley, Edgar Stillman"
"Neusiedler, Hans"
"Ortiz, Diego"
"Thiel, Johann Georg"
"Traditional, Military Music"
"Audsley, George Ashdown"
"Binchois, Gilles"
"Blon, Franz von"
"Bruckner, Anton"
"Erkel, Ferenc"
"Folklore, Costa Rica"
"Guignard, Justin"
"Heath, John Rippiner"
"Hildach, Eugen"
"Hoemsnes, Bjørn Norvall"
"Kéler, Béla"
"Marcello, Alessandro"
"Obizzi, Domenico"
"Parry, Joseph"
"Samaras, Spyridon"
"Tappert, Wilhelm"
"Wallace, Clarence S."
"Wilkins, Herve D."
"Witmark, Isidore"
"Arditi, Luigi"
"Chesnokov, Alexander Grigorevich"
"Clavé, Josep Anselm"
"Eyken, Heinrich van"
"Fawcett, Owen"
"Franz, Oscar"
"Fétis, François-Joseph"
"Garat, Dominique-Pierre-Jean"
"Gaztambide, Joaquín"
"Mersenne, Marin"
"Paliashvili, Zakharia"
"Prochaźka, J. O. von"
"Schulz, Max"
"Tercero, Aldo"
"Zajíc, Florián"
"Brossard, Sébastien de"
"Chase, Alex"
"Fiske, William Orville"
"Garcia Robles, Josep"
"Gerson, Georg"
"Groos, Karl"
"Kretschmer, Edmund"
"Kroeger, Ernest Richard"
"Lalo, Edouard"
"Monte, Philippe de"
"Müller, Bernhard Eduard"
"Nicholson, Thomas"
"Orefici, Alberto"
"Otto, Ernst Julius"
"Stackhouse, Clara B."
"Waith, William Sereno"
"Gevaert, François-Auguste"
"Jeep, Johann"
"Mack, Edward"
"Missa, Edmond"
"Montanari, Antonio Maria"
"Schnecker, Peter August"
"Speaks, Oley"
"Wendel, Bruno"
"White, Maude Valérie"
"Eberhard, Ernst"
"Skelly, Joseph Paul"
"Dett, Robert Nathaniel"
"Krall, Emil"
"Spengel, Julius Heinrich"
"Ferrini, Giovanni Battista"
"Reutter, Georg"
"Roussel, François"
"Valerius, Adrianus"
"Bridge, Frank"
"Gallo, Carlo"
"Rigatti, Giovanni Antonio"
"Barbella, Emanuele"
"Moretti, Felice"
"Vitali, Filippo"
"Willaert, Adrian"
"Ribas, José"
"Schiffelholz, Johann Paul"
"Vinatieri, Felix Villiet"
"Lidgey, Charles Albert"
"Lambert, Émile"
"Toselli, Enrico"
"Abela, Placido"
"Accolay, Jean-Baptiste"
"Agresta, Agostino"
"Aix, Pascal d'"
"Alfvén, Hugo"
"Allison, Richard"
"Altès, Ernest Eugène"
"Ammon, Blasius"
"Arends, Genrikh"
"Arifon, E."
"Arndt, Felix"
"Arriaga, Juan Crisóstomo de"
"Ascham, Roger"
"Bach, Johann Ludwig"
"Bach, Leonhard Emil"
"Bairstow, Edward Cuthbert"
"Bajić, Isidor"
"Baltzar, Thomas"
"Barbieri, Francisco Asenjo"
"Baum, L. Frank"
"Bayer, Josef"
"Beber, Ambrosius"
"Beck, Franz Ignaz"
"Becker, Wilhelm Gottlieb"
"Beer-Walbrunn, Anton"
"Bellack, James"
