composer
"Dargomyzhsky, Alexander Sergeyevich"
"Darr, Adam"
"Dauprat, Louis-François"
"Davaux, Jean-Baptiste"
"David, Ferdinand"
"David, Félicien"
"Davidov, Aleksei Avgustovich"
"Davydov, Karl"
"De Carvalho, Ricardo Ferreira"
"Deffès, Pierre-Louis"
"Delibes, Léo"
"Delius, Frederick"
"Della Ciaja, Azzolino Bernardino"
"Delmas, Marc"
"Demachi, Giuseppe"
"Demantius, Christoph"
"Demersseman, Jules"
"Dennée, Charles"
"Deshayes, Henri"
"Desmarets, Henri"
"Destenay, Edouard"
"Destouches, André Cardinal"
"Devienne, François"
"Diabelli, Anton"
"Dianov, Anton"
"Diebold, Johann"
"Dieren, Bernard van"
"Diruta, Girolamo"
"Dittersdorf, Carl Ditters von"
"Diémer, Louis"
"Dobrzyński, Ignacy Feliks"
"Donizetti, Gaetano"
"Dont, Jakob"
"Doppler, Franz"
"Dost, Rudolf"
"Dotzauer, Friedrich"
"Dowland, John"
"Doyen, Albert"
"Draeseke, Felix"
"Dragonetti, Domenico"
"Dressler, Raphael"
"Dreyschock, Alexander"
"Drigo, Riccardo"
"Drouet, Louis François Philippe"
"Du Mont, Henry"
"Du Phly, Jacques"
"Du Puy, Edouard"
"Dubois, Théodore"
"Dubuque, Alexander Ivanovich"
"Dulcken, Ferdinand Quentin"
"Dulichius, Philipp"
"Dumonchau, Charles-François"
"Dunkler, Emile"
"Dupuy, Bernard Aymable"
"Duranowski, August Fryderyk"
"Dussek, Jan Ladislav"
"Duvernoy, Frédéric"
"Dworzak von Walden, Eusebio"
"Dyck, Vladimir"
"Ebell, Hans"
"Eberhardt, Goby"
"Eberl, Anton"
"Eberlin, Johann Ernst"
"Ebreo, Guglielmo"
"Eggert, Joachim Nicolas"
"Eichner, Ernst"
"Eler, André-Frédéric"
"Elgar, Edward"
"Enescu, George"
"Erba, Dionigi"
"Erlanger, Camille"
"Erlanger, Gustav"
"Erlebach, Philipp Heinrich"
"Ernst, Heinrich Wilhelm"
"Eybler, Joseph"
"Farrenc, Aristide"
"Fasch, Johann Friedrich"
"Fauré, Gabriel"
"Fehre, Christoph Ludwig"
"Ferling, Franz Wilhelm"
"Ferrandini, Giovanni Battista"
"Ferranti, Marco Aurelio Zani de"
"Ferrara, Bernardo"
"Ferrari, Giacomo Gotifredo"
"Ferrer, José"
"Ferroni, Vincenzo"
"Fesca, Alexander"
"Fesca, Friedrich Ernst"
"Fibich, Zdeněk"
"Field, John"
"Fillmore, Henry"
"Filtz, Johann Anton"
"Finger, Godfrey"
"Fiorillo, Federigo"
"Firket, Leon"
"Fischer, Johann Christian"
"Fischer, Michael Gotthard"
"Flackton, William"
"Fleury, Hélène"
"Flick, C. Roland"
"Floridia, Pietro"
"Flégier, Ange"
"Fodor, Josephus"
"Foltmar, Johan"
"Fonta, Laure"
"Fontana, Giovanni Battista"
"Forqueray, Antoine"
"Forqueray, Jean-Baptiste-Antoine"
"Franchetti, Alberto"
"Franchomme, Auguste"
"Franck, César"
"Franck, Eduard"
"Franck, Johann Wolfgang"
"Franck, Melchior"
"Franz, Robert"
"Frescobaldi, Girolamo"
"Friedemann, Carl"
"Friedman, Ignaz"
"Froberger, Johann Jacob"
"Frugatta, Giuseppe"
"Fränzl, Ferdinand"
"Frøhlich, Johannes Frederik"
"Frühling, Carl"
"Fuchs, Georg Friedrich"
"Fuchs, Oscar"
